id_task;nome_task;descrizione_task;priorita_task;data_inizio_prevista;data_fine_prevista;data_scadenza_task;data_inizio_effettiva;data_fine_effettiva;durata_stimata_ore;ore_lavorate;reparto_riferimento;milestone_appartenenza;assegnatario;stato_avanzamento;percentuale_completamento;note_problema
1;Sviluppo Modulo Autenticazione;Implementazione sistema di autenticazione utenti;Alta;01/06/2025;15/06/2025;15/06/2025;01/06/2025;14/06/2025;120;120;Sviluppo Backend;Milestone Iniziale;Mario Rossi;Completato;100;
2;Design UI Dashboard;Progettazione interfaccia utente per dashboard;Media;05/06/2025;20/06/2025;20/06/2025;05/06/2025;19/06/2025;80;80;Design UI/UX;Milestone Iniziale;Laura Bianchi;Completato;100;
3;Configurazione Database;Setup e ottimizzazione del database;Alta;10/06/2025;25/06/2025;25/06/2025;10/06/2025;24/06/2025;100;100;DevOps;Milestone Iniziale;Giuseppe Verdi;Completato;100;
4;Test Unitari Modulo Autenticazione;Scrittura ed esecuzione test unitari;Alta;16/06/2025;30/06/2025;30/06/2025;16/06/2025;02/07/2025;60;65;Quality Assurance;Milestone Iniziale;Anna Neri;In Ritardo;100;Completato in ritardo per bug inaspettati
5;Sviluppo API Utenti;Creazione endpoint API per gestione utenti;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;08/07/2025;160;170;Sviluppo Backend;Milestone Alpha;Mario Rossi;In Ritardo;100;Complessit� maggiore del previsto
6;Integrazione Modulo Pagamenti;Connessione con gateway di pagamento esterno;Alta;01/07/2025;15/07/2025;15/07/2025;01/07/2025;20/07/2025;140;150;Sviluppo Backend;Milestone Alpha;Paolo Gialli;In Ritardo;100;Problemi di compatibilit� con API esterne
7;Revisione Codice Modulo Autenticazione;Revisione del codice per qualit� e sicurezza;Media;03/07/2025;07/07/2025;07/07/2025;03/07/2025;06/07/2025;24;24;Sviluppo Backend;Milestone Iniziale;Sara Bruno;Completato;100;
8;Preparazione Ambiente di Staging;Configurazione server per ambiente di test;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Alpha;Giuseppe Verdi;Completato;100;
9;Test di Integrazione Iniziali;Esecuzione test tra moduli principali;Media;08/07/2025;12/07/2025;12/07/2025;08/07/2025;11/07/2025;32;32;Quality Assurance;Milestone Alpha;Elena Romano;Completato;100;
10;Sviluppo Funzionalit� Ricerca;Implementazione motore di ricerca interno;Alta;10/07/2025;25/07/2025;25/07/2025;10/07/2025;;160;100;Sviluppo Frontend;Milestone Alpha;Marco Conti;In Corso;60;
11;Analisi Requisiti V2;Raccolta e analisi requisiti per la prossima fase;Alta;15/07/2025;22/07/2025;22/07/2025;15/07/2025;;40;20;Business Analysis;Milestone Beta;Giulia Ferrari;In Corso;50;
12;Sviluppo Interfaccia Amministratore;Creazione pannello di controllo per admin;Media;18/07/2025;01/08/2025;01/08/2025;18/07/2025;;80;30;Sviluppo Frontend;Milestone Beta;Laura Bianchi;In Corso;30;
13;Preparazione Documentazione Tecnica;Redazione della documentazione per sviluppatori;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Sviluppo Backend;Milestone Beta;Mario Rossi;In Corso;15;
